Datetime,Generated power_45 (kW),Ambient temperature_63 (degree C),Irradiance_81 (W/m2),PV module temperature_264 (C)
2021-01-01 00:00:00,0.0000000000,25.0000000000,0.0000000000,12.8733300000
2021-01-01 00:15:00,0.0000000000,25.0000000000,0.0000000000,12.9333300000
2021-01-01 00:30:00,0.0000000000,25.0000000000,0.0000000000,12.8200000000
2021-01-01 00:45:00,0.0000000000,25.0000000000,0.0000000000,12.5066700000
2021-01-01 01:00:00,0.0000000000,25.0000000000,0.0000000000,12.1933300000
2021-01-01 01:15:00,0.0000000000,25.0000000000,0.0000000000,11.9600000000
2021-01-01 01:30:00,0.0000000000,25.0000000000,0.0000000000,11.8000000000
2021-01-01 01:45:00,0.0000000000,25.0000000000,0.0000000000,11.6800000000
2021-01-01 02:00:00,0.0000000000,25.0000000000,0.0000000000,11.5933300000
2021-01-01 02:15:00,0.0000000000,25.0000000000,0.0000000000,11.4466700000
2021-01-01 02:30:00,0.0000000000,24.0000000000,0.0000000000,11.3066700000
2021-01-01 02:45:00,0.0000000000,25.0000000000,0.0000000000,11.2666700000
2021-01-01 03:00:00,0.0000000000,24.0000000000,0.0000000000,11.0733300000
2021-01-01 03:15:00,0.0000000000,24.0000000000,0.0000000000,10.9200000000
2021-01-01 03:30:00,0.0000000000,24.0000000000,0.0000000000,10.7733300000
2021-01-01 03:45:00,0.0000000000,24.0000000000,0.0000000000,10.5866700000
2021-01-01 04:00:00,0.0000000000,24.0000000000,0.0000000000,10.5466700000
2021-01-01 04:15:00,0.0000000000,23.0000000000,0.0000000000,10.3466700000
2021-01-01 04:30:00,0.0000000000,24.0000000000,0.0000000000,10.4133300000
2021-01-01 04:45:00,0.0000000000,24.0000000000,0.0000000000,10.9466700000
2021-01-01 05:00:00,0.0000000000,24.0000000000,0.0000000000,11.1000000000
2021-01-01 05:15:00,0.0000000000,24.0000000000,0.0000000000,10.9333300000
2021-01-01 05:30:00,0.0000000000,24.0000000000,0.0000000000,10.5600000000
2021-01-01 05:45:00,0.0000000000,24.0000000000,0.0000000000,10.1200000000
2021-01-01 06:00:00,0.0000000000,24.0000000000,0.0000000000,9.8466660000
2021-01-01 06:15:00,0.0000000000,24.0000000000,0.1529881000,9.7066670000
2021-01-01 06:30:00,4.4000000000,24.0000000000,7.2516360000,9.6600000000
2021-01-01 06:45:00,18.4000000000,23.0000000000,32.5864700000,10.0000000000
2021-01-01 07:00:00,39.6000000000,24.0000000000,77.9321400000,11.1666700000
2021-01-01 07:15:00,72.8000000000,24.0000000000,131.9676000000,12.7866700000
2021-01-01 07:30:00,116.4000000000,25.0000000000,187.8082000000,14.7466700000
2021-01-01 07:45:00,164.8000000000,25.0000000000,246.5862000000,16.7400000000
2021-01-01 08:00:00,211.6000000000,25.0000000000,300.6523000000,18.5066700000
2021-01-01 08:15:00,253.2000000000,26.0000000000,344.0397000000,20.2066700000
2021-01-01 08:30:00,301.6000000000,26.0000000000,404.8984000000,21.8333300000
2021-01-01 08:45:00,349.2000000000,27.0000000000,467.3481000000,23.7133300000
2021-01-01 09:00:00,391.2000000000,27.0000000000,521.1999000000,25.5400000000
