Datetime,Generated power_45 (kW),Ambient temperature_63 (degree C),Irradiance_81 (W/m2),PV module temperature_264 (C)
2023-02-06 00:00:00,0.0000000000,37.0000000000,0.0000000000,19.1250000000
2023-02-06 00:15:00,0.0000000000,37.0000000000,0.0000000000,19.3666700000
2023-02-06 00:30:00,0.0000000000,37.0000000000,0.0000000000,19.2416700000
2023-02-06 00:45:00,0.0000000000,37.0000000000,0.0000000000,19.0666700000
2023-02-06 01:00:00,0.0000000000,36.0000000000,0.0000000000,18.6916700000
2023-02-06 01:15:00,0.0000000000,37.0000000000,0.0000000000,18.4833300000
2023-02-06 01:30:00,0.0000000000,36.0000000000,0.0000000000,18.5166700000
2023-02-06 01:45:00,0.0000000000,36.0000000000,0.0000000000,19.0750000000
2023-02-06 02:00:00,0.0000000000,37.0000000000,0.0000000000,19.6000000000
2023-02-06 02:15:00,0.0000000000,36.0000000000,0.0000000000,19.3583300000
2023-02-06 02:30:00,0.0000000000,36.0000000000,0.0000000000,19.2333300000
2023-02-06 02:45:00,0.0000000000,36.0000000000,0.0000000000,19.5583300000
2023-02-06 03:00:00,0.0000000000,35.0000000000,0.0000000000,19.6333300000
2023-02-06 03:15:00,0.0000000000,35.0000000000,0.0000000000,19.9083300000
2023-02-06 03:30:00,0.0000000000,36.0000000000,0.0000000000,20.1666700000
2023-02-06 03:45:00,0.0000000000,36.0000000000,0.0000000000,20.0000000000
2023-02-06 04:00:00,0.0000000000,36.0000000000,0.0000000000,19.9000000000
2023-02-06 04:15:00,0.0000000000,35.0000000000,0.0000000000,19.8083300000
2023-02-06 04:30:00,0.0000000000,34.0000000000,0.0000000000,19.7750000000
2023-02-06 04:45:00,0.0000000000,35.0000000000,0.0000000000,19.6166700000
2023-02-06 05:00:00,0.0000000000,34.0000000000,0.0000000000,19.9333300000
2023-02-06 05:15:00,0.0000000000,34.0000000000,0.0000000000,20.0333300000
2023-02-06 05:30:00,0.0000000000,34.0000000000,0.0000000000,20.1833300000
2023-02-06 05:45:00,0.0000000000,34.0000000000,0.0000000000,20.4583300000
2023-02-06 06:00:00,0.0000000000,34.0000000000,0.0000000000,20.8666700000
2023-02-06 06:15:00,0.0000000000,34.0000000000,0.0764940600,21.0500000000
2023-02-06 06:30:00,0.8000000000,34.0000000000,3.3274920000,21.2416700000
2023-02-06 06:45:00,8.8000000000,34.0000000000,13.3864600000,21.3833300000
2023-02-06 07:00:00,20.0000000000,34.0000000000,27.2701300000,21.5416700000
2023-02-06 07:15:00,27.6000000000,34.0000000000,37.4056000000,21.6000000000
2023-02-06 07:30:00,34.4000000000,34.0000000000,46.9291000000,21.7416700000
2023-02-06 07:45:00,62.0000000000,34.0000000000,84.4111900000,22.2250000000
2023-02-06 08:00:00,115.2000000000,35.0000000000,138.6072000000,23.2750000000
2023-02-06 08:15:00,208.0000000000,35.0000000000,246.9228000000,25.5250000000
2023-02-06 08:30:00,305.2000000000,36.0000000000,389.2018000000,28.7916700000
2023-02-06 08:45:00,314.8000000000,37.0000000000,402.7412000000,33.8666600000
2023-02-06 09:00:00,176.0000000000,38.0000000000,231.6240000000,35.8416700000
2023-02-06 09:15:00,388.0000000000,38.0000000000,481.7213000000,36.9583300000
2023-02-06 09:30:00,424.0000000000,39.0000000000,570.5309000000,42.4333300000
2023-02-06 09:45:00,444.0000000000,44.0000000000,604.6855000000,45.3916700000
2023-02-06 10:00:00,480.0000000000,41.0000000000,652.3414000000,48.0750000000
2023-02-06 10:15:00,496.0000000000,41.0000000000,687.5286000000,51.0333300000
2023-02-06 10:30:00,512.0000000000,42.0000000000,713.3453000000,52.3916700000
2023-02-06 10:45:00,536.0000000000,42.0000000000,748.4178000000,54.5166700000
2023-02-06 11:00:00,500.0000000000,42.0000000000,671.8090000000,55.5833300000
2023-02-06 11:15:00,448.0000000000,44.0000000000,615.7007000000,53.5000000000
2023-02-06 11:30:00,456.0000000000,44.0000000000,615.5477000000,52.5333300000
2023-02-06 11:45:00,600.0000000000,44.0000000000,850.5374000000,55.9750000000
2023-02-06 12:00:00,496.0000000000,46.0000000000,680.1087000000,58.0583300000
2023-02-06 12:15:00,492.0000000000,45.0000000000,690.1294000000,58.5166700000
2023-02-06 12:30:00,356.0000000000,46.0000000000,493.2337000000,54.7666700000
2023-02-06 12:45:00,504.0000000000,45.0000000000,706.3461000000,54.1750000000
2023-02-06 13:00:00,624.0000000000,45.0000000000,896.5869000000,58.3916700000
2023-02-06 13:15:00,556.0000000000,45.0000000000,786.2059000000,61.9083300000
2023-02-06 13:30:00,448.0000000000,46.0000000000,685.3102000000,59.7500000000
2023-02-06 13:45:00,428.0000000000,45.0000000000,588.3923000000,56.8250000000
2023-02-06 14:00:00,504.0000000000,45.0000000000,704.2808000000,55.4250000000
2023-02-06 14:15:00,488.0000000000,44.0000000000,681.7916000000,57.4000000000
2023-02-06 14:30:00,468.0000000000,45.0000000000,646.8337000000,57.2500000000
2023-02-06 14:45:00,432.0000000000,45.0000000000,600.4783000000,56.3000000000
2023-02-06 15:00:00,368.0000000000,46.0000000000,512.1277000000,54.8833400000
2023-02-06 15:15:00,312.0000000000,46.0000000000,406.1070000000,50.7333300000
2023-02-06 15:30:00,308.0000000000,46.0000000000,457.7022000000,48.8500000000
2023-02-06 15:45:00,316.0000000000,46.0000000000,438.3492000000,48.1250000000
2023-02-06 16:00:00,256.0000000000,46.0000000000,361.5874000000,47.3666600000
2023-02-06 16:15:00,204.0000000000,45.0000000000,294.0432000000,45.2750000000
2023-02-06 16:30:00,160.0000000000,46.0000000000,230.0941000000,42.4916600000
2023-02-06 16:45:00,112.0000000000,46.0000000000,170.7348000000,39.8250000000
2023-02-06 17:00:00,68.0000000000,46.0000000000,108.5451000000,37.1833300000
2023-02-06 17:15:00,40.0000000000,46.0000000000,41.0773100000,34.4666700000
2023-02-06 17:30:00,16.0000000000,45.0000000000,22.2597700000,31.7250000000
2023-02-06 17:45:00,8.0000000000,46.0000000000,7.1904430000,29.3833300000
2023-02-06 18:00:00,0.0000000000,45.0000000000,0.0000000000,27.3250000000
2023-02-06 18:15:00,0.0000000000,44.0000000000,0.0000000000,25.6083300000
2023-02-06 18:30:00,0.0000000000,43.0000000000,0.0000000000,24.3666700000
2023-02-06 18:45:00,0.0000000000,42.0000000000,0.0000000000,23.4500000000
2023-02-06 19:00:00,0.0000000000,42.0000000000,0.0000000000,22.8000000000
2023-02-06 19:15:00,0.0000000000,43.0000000000,0.0000000000,22.4083300000
2023-02-06 19:30:00,0.0000000000,41.0000000000,0.0000000000,21.9750000000
2023-02-06 19:45:00,0.0000000000,41.0000000000,0.0000000000,21.7416700000
2023-02-06 20:00:00,0.0000000000,41.0000000000,0.0000000000,21.6750000000
2023-02-06 20:15:00,0.0000000000,40.0000000000,0.0000000000,21.5500000000
2023-02-06 20:30:00,0.0000000000,40.0000000000,0.0000000000,21.2583300000
2023-02-06 20:45:00,0.0000000000,40.0000000000,0.0000000000,21.1000000000
2023-02-06 21:00:00,0.0000000000,43.0000000000,0.0000000000,21.1166700000
2023-02-06 21:15:00,0.0000000000,39.0000000000,0.0000000000,20.9750000000
2023-02-06 21:30:00,0.0000000000,41.0000000000,0.0000000000,20.6750000000
2023-02-06 21:45:00,0.0000000000,39.0000000000,0.0000000000,20.5750000000
2023-02-06 22:00:00,0.0000000000,39.0000000000,0.0000000000,20.5500000000
2023-02-06 22:15:00,0.0000000000,39.0000000000,0.0000000000,20.3000000000
2023-02-06 22:30:00,0.0000000000,39.0000000000,0.0000000000,20.1333300000
2023-02-06 22:45:00,0.0000000000,40.0000000000,0.0000000000,20.1194400000
2023-02-06 23:00:00,0.0000000000,39.0000000000,0.0000000000,19.9722200000
2023-02-06 23:15:00,0.0000000000,40.0000000000,0.0000000000,19.8666700000
2023-02-06 23:30:00,0.0000000000,39.0000000000,0.0000000000,19.7416700000
2023-02-06 23:45:00,0.0000000000,39.0000000000,0.0000000000,19.5833300000
2023-02-07 00:00:00,0.0000000000,39.0000000000,0.0000000000,19.5083300000
2023-02-07 00:15:00,0.0000000000,38.0000000000,0.0000000000,19.6833300000
