Datetime,Generated power_1427 (kW),Ambient temperature_1428 (degree C),Irradiance_1429 (W/m2),PV module temperature_1430 (C)
2022-10-23 00:00:00,0.0000000000,36.0000000000,0.0000000000,22.8916700000
2022-10-23 00:15:00,0.0000000000,36.0000000000,0.0000000000,22.5000000000
2022-10-23 00:30:00,0.0000000000,35.0000000000,0.0000000000,22.2166700000
2022-10-23 00:45:00,0.0000000000,35.0000000000,0.0000000000,21.9666700000
2022-10-23 01:00:00,0.0000000000,35.0000000000,0.0000000000,21.9000000000
2022-10-23 01:15:00,0.0000000000,35.0000000000,0.0000000000,22.0250000000
2022-10-23 01:30:00,0.0000000000,35.0000000000,0.0000000000,21.9166700000
2022-10-23 01:45:00,0.0000000000,36.0000000000,0.0000000000,21.8000000000
2022-10-23 02:00:00,0.0000000000,35.0000000000,0.0000000000,21.7083300000
2022-10-23 02:15:00,0.0000000000,35.0000000000,0.0000000000,21.7000000000
2022-10-23 02:30:00,0.0000000000,35.0000000000,0.0000000000,21.8583300000
2022-10-23 02:45:00,0.0000000000,34.0000000000,0.0000000000,22.1416700000
2022-10-23 03:00:00,0.0000000000,35.0000000000,0.0000000000,21.9833300000
2022-10-23 03:15:00,0.0000000000,34.0000000000,0.0000000000,21.8000000000
2022-10-23 03:30:00,0.0000000000,34.0000000000,0.0000000000,21.7000000000
2022-10-23 03:45:00,0.0000000000,34.0000000000,0.0000000000,21.7083300000
2022-10-23 04:00:00,0.0000000000,34.0000000000,0.0000000000,21.9000000000
2022-10-23 04:15:00,0.0000000000,34.0000000000,0.0000000000,22.1000000000
2022-10-23 04:30:00,0.0000000000,35.0000000000,0.0000000000,22.2000000000
2022-10-23 04:45:00,0.0000000000,34.0000000000,0.0000000000,22.2000000000
2022-10-23 05:00:00,0.0000000000,35.0000000000,0.0000000000,22.1166700000
2022-10-23 05:15:00,0.0000000000,35.0000000000,0.0000000000,21.9833300000
2022-10-23 05:30:00,0.0000000000,35.0000000000,0.0000000000,22.0500000000
2022-10-23 05:45:00,0.0000000000,34.0000000000,0.0000000000,22.1333300000
2022-10-23 06:00:00,2.8000000000,35.0000000000,4.6065240000,22.4333300000
2022-10-23 06:15:00,8.0000000000,35.0000000000,19.3607500000,22.7166700000
2022-10-23 06:30:00,15.6000000000,34.0000000000,37.3195200000,23.0416700000
2022-10-23 06:45:00,28.8000000000,34.0000000000,68.5303900000,23.5416700000
2022-10-23 07:00:00,41.6000000000,35.0000000000,106.0836000000,24.3750000000
2022-10-23 07:15:00,44.4000000000,35.0000000000,111.3577000000,25.2333300000
2022-10-23 07:30:00,60.8000000000,36.0000000000,154.2852000000,27.4250000000
2022-10-23 07:45:00,80.8000000000,35.0000000000,201.7858000000,29.9416700000
2022-10-23 08:00:00,95.2000000000,36.0000000000,240.3070000000,32.3416700000
2022-10-23 08:15:00,100.8000000000,37.0000000000,255.7622000000,34.2416600000
2022-10-23 08:30:00,122.8000000000,37.0000000000,310.8402000000,35.4833300000
2022-10-23 08:45:00,160.4000000000,38.0000000000,416.7569000000,37.1083300000
2022-10-23 09:00:00,154.8000000000,38.0000000000,402.8372000000,39.6250000000
2022-10-23 09:15:00,158.8000000000,38.0000000000,424.4678000000,39.8833400000
2022-10-23 09:30:00,223.6000000000,39.0000000000,566.0684000000,40.5416700000
2022-10-23 09:45:00,306.4000000000,40.0000000000,851.7729000000,46.7166700000
2022-10-23 10:00:00,299.2000000000,41.0000000000,831.9449000000,48.9666700000
2022-10-23 10:15:00,302.4000000000,42.0000000000,842.0926000000,49.7750000000
2022-10-23 10:30:00,316.4000000000,43.0000000000,891.2288000000,50.1083300000
2022-10-23 10:45:00,316.8000000000,44.0000000000,852.8412000000,51.7916700000
2022-10-23 11:00:00,329.2000000000,44.0000000000,920.2032000000,52.8166700000
2022-10-23 11:15:00,329.2000000000,44.0000000000,904.9149000000,51.6500000000
2022-10-23 11:30:00,332.8000000000,44.0000000000,908.2864000000,50.5333300000
2022-10-23 11:45:00,331.2000000000,44.0000000000,900.5421000000,49.1500000000
2022-10-23 12:00:00,329.2000000000,45.0000000000,892.2637000000,49.5916700000
2022-10-23 12:15:00,328.8000000000,45.0000000000,887.6571000000,49.2833300000
2022-10-23 12:30:00,325.6000000000,46.0000000000,873.0364000000,48.3500000000
2022-10-23 12:45:00,318.4000000000,45.0000000000,858.2822000000,49.2000000000
2022-10-23 13:00:00,307.6000000000,45.0000000000,823.7667000000,50.4666700000
2022-10-23 13:15:00,298.4000000000,46.0000000000,793.1566000000,49.1500000000
2022-10-23 13:30:00,290.0000000000,46.0000000000,762.7135000000,48.1416700000
2022-10-23 13:45:00,282.4000000000,46.0000000000,744.8549000000,47.2083300000
2022-10-23 14:00:00,267.6000000000,46.0000000000,706.5339000000,48.0833300000
2022-10-23 14:15:00,248.8000000000,46.0000000000,649.8871000000,46.8666600000
2022-10-23 14:30:00,230.8000000000,46.0000000000,600.7174000000,45.6083300000
2022-10-23 14:45:00,210.4000000000,46.0000000000,544.8383000000,45.0166700000
2022-10-23 15:00:00,190.4000000000,46.0000000000,494.5337000000,44.3000000000
2022-10-23 15:15:00,171.6000000000,46.0000000000,445.5644000000,42.4916600000
2022-10-23 15:30:00,152.0000000000,45.0000000000,396.5950000000,41.0666700000
2022-10-23 15:45:00,132.8000000000,45.0000000000,350.1626000000,40.4250000000
2022-10-23 16:00:00,112.8000000000,45.0000000000,298.6563000000,38.9916600000
2022-10-23 16:15:00,95.2000000000,44.0000000000,259.5676000000,37.8666600000
2022-10-23 16:30:00,67.2000000000,44.0000000000,188.6004000000,36.6166600000
2022-10-23 16:45:00,38.4000000000,44.0000000000,115.8975000000,34.4666700000
2022-10-23 17:00:00,20.8000000000,43.0000000000,63.7569600000,32.1416700000
2022-10-23 17:15:00,8.0000000000,43.0000000000,24.3010800000,30.2833300000
2022-10-23 17:30:00,1.6000000000,42.0000000000,3.1711580000,28.6750000000
2022-10-23 17:45:00,0.0000000000,42.0000000000,0.0000000000,26.8833300000
2022-10-23 18:00:00,0.0000000000,42.0000000000,0.0000000000,24.7166700000
2022-10-23 18:15:00,0.0000000000,41.0000000000,0.0000000000,22.9333300000
2022-10-23 18:30:00,0.0000000000,40.0000000000,0.0000000000,21.7083300000
2022-10-23 18:45:00,0.0000000000,39.0000000000,0.0000000000,20.9166700000
2022-10-23 19:00:00,0.0000000000,39.0000000000,0.0000000000,20.7833300000
2022-10-23 19:15:00,0.0000000000,38.0000000000,0.0000000000,20.7250000000
2022-10-23 19:30:00,0.0000000000,38.0000000000,0.0000000000,20.8250000000
2022-10-23 19:45:00,0.0000000000,37.0000000000,0.0000000000,20.8416700000
2022-10-23 20:00:00,0.0000000000,37.0000000000,0.0000000000,21.0750000000
