Datetime,Generated power_1337 (kW),Ambient temperature_1338 (degree C),Irradiance_1339 (W/m2),PV module temperature_1340 (C)
2023-02-06 00:00:00,0.0000000000,38.0000000000,0.0000000000,21.1333300000
2023-02-06 00:15:00,0.0000000000,38.0000000000,0.0000000000,21.1000000000
2023-02-06 00:30:00,0.0000000000,38.0000000000,0.0000000000,20.9333300000
2023-02-06 00:45:00,0.0000000000,38.0000000000,0.0000000000,20.9000000000
2023-02-06 01:00:00,0.0000000000,38.0000000000,0.0000000000,21.2583300000
2023-02-06 01:15:00,0.0000000000,38.0000000000,0.0000000000,21.5333300000
2023-02-06 01:30:00,0.0000000000,38.0000000000,0.0000000000,21.2416700000
2023-02-06 01:45:00,0.0000000000,37.0000000000,0.0000000000,20.7916700000
2023-02-06 02:00:00,0.0000000000,38.0000000000,0.0000000000,20.4333300000
2023-02-06 02:15:00,0.0000000000,37.0000000000,0.0000000000,20.5083300000
2023-02-06 02:30:00,0.0000000000,39.0000000000,0.0000000000,20.5916700000
2023-02-06 02:45:00,0.4000000000,38.0000000000,0.0000000000,20.8000000000
2023-02-06 03:00:00,0.0000000000,39.0000000000,0.0000000000,20.5416700000
2023-02-06 03:15:00,0.0000000000,38.0000000000,0.0000000000,20.7250000000
2023-02-06 03:30:00,0.0000000000,37.0000000000,0.0000000000,20.9333300000
2023-02-06 03:45:00,0.0000000000,37.0000000000,0.0000000000,21.0416700000
2023-02-06 04:00:00,0.0000000000,37.0000000000,0.0000000000,20.7750000000
2023-02-06 04:15:00,0.0000000000,37.0000000000,0.0000000000,20.4083300000
2023-02-06 04:30:00,0.0000000000,37.0000000000,0.0000000000,20.6750000000
2023-02-06 04:45:00,0.0000000000,37.0000000000,0.0000000000,20.8666700000
2023-02-06 05:00:00,0.0000000000,36.0000000000,0.0000000000,20.2250000000
2023-02-06 05:15:00,0.0000000000,37.0000000000,0.0000000000,19.8583300000
2023-02-06 05:30:00,0.4000000000,36.0000000000,0.0000000000,20.4583300000
2023-02-06 05:45:00,0.0000000000,37.0000000000,0.0000000000,21.0416700000
2023-02-06 06:00:00,0.0000000000,37.0000000000,0.0000000000,20.9833300000
2023-02-06 06:15:00,0.0000000000,37.0000000000,0.1264552000,20.8500000000
2023-02-06 06:30:00,2.0000000000,37.0000000000,4.8896030000,21.4750000000
2023-02-06 06:45:00,12.8000000000,37.0000000000,19.2633500000,21.3500000000
2023-02-06 07:00:00,36.8000000000,37.0000000000,52.8582900000,21.7250000000
2023-02-06 07:15:00,66.8000000000,36.0000000000,100.8691000000,23.0500000000
2023-02-06 07:30:00,90.0000000000,37.0000000000,134.0426000000,24.8666700000
2023-02-06 07:45:00,116.0000000000,37.0000000000,159.4600000000,26.2083300000
2023-02-06 08:00:00,147.2000000000,37.0000000000,198.1553000000,27.6583300000
2023-02-06 08:15:00,220.4000000000,38.0000000000,312.5974000000,30.4500000000
2023-02-06 08:30:00,193.6000000000,38.0000000000,275.6303000000,33.2583400000
2023-02-06 08:45:00,330.4000000000,38.0000000000,458.2316000000,35.9666700000
2023-02-06 09:00:00,272.0000000000,39.0000000000,453.1313000000,41.3583300000
2023-02-06 09:15:00,244.0000000000,39.0000000000,306.1903000000,40.6916700000
2023-02-06 09:30:00,384.0000000000,39.0000000000,578.0690000000,44.0083400000
2023-02-06 09:45:00,420.0000000000,39.0000000000,583.5066000000,45.8333300000
2023-02-06 10:00:00,272.0000000000,40.0000000000,447.6094000000,48.8583300000
2023-02-06 10:15:00,504.0000000000,40.0000000000,644.3316000000,45.6333400000
2023-02-06 10:30:00,636.0000000000,40.0000000000,913.0490000000,53.7583400000
2023-02-06 10:45:00,676.0000000000,40.0000000000,996.0880000000,61.1000000000
2023-02-06 11:00:00,364.0000000000,41.0000000000,571.4512000000,58.0916700000
2023-02-06 11:15:00,300.0000000000,41.0000000000,431.2967000000,49.9166700000
2023-02-06 11:30:00,516.0000000000,41.0000000000,735.2529000000,47.9583300000
2023-02-06 11:45:00,364.0000000000,41.0000000000,535.1586000000,51.9083300000
2023-02-06 12:00:00,616.0000000000,42.0000000000,805.5621000000,50.8833400000
2023-02-06 12:15:00,600.0000000000,42.0000000000,845.9434000000,58.7333300000
2023-02-06 12:30:00,712.0000000000,42.0000000000,1029.0080000000,59.2583400000
2023-02-06 12:45:00,680.0000000000,42.0000000000,984.2012000000,61.9750000000
2023-02-06 13:00:00,664.0000000000,42.0000000000,956.4232000000,61.0000000000
2023-02-06 13:15:00,644.0000000000,42.0000000000,911.3207000000,60.9916600000
2023-02-06 13:30:00,632.0000000000,43.0000000000,891.5516000000,59.5250000000
2023-02-06 13:45:00,616.0000000000,43.0000000000,859.0526000000,58.5000000000
2023-02-06 14:00:00,588.0000000000,43.0000000000,811.2104000000,56.2666700000
2023-02-06 14:15:00,520.0000000000,42.0000000000,714.5564000000,54.2833300000
2023-02-06 14:30:00,548.0000000000,41.0000000000,748.8258000000,53.1083300000
2023-02-06 14:45:00,512.0000000000,42.0000000000,693.3541000000,52.7833300000
2023-02-06 15:00:00,488.0000000000,42.0000000000,653.6471000000,51.8333300000
2023-02-06 15:15:00,444.0000000000,42.0000000000,597.1638000000,50.0500000000
2023-02-06 15:30:00,408.0000000000,42.0000000000,542.1136000000,49.0250000000
2023-02-06 15:45:00,344.0000000000,42.0000000000,463.5428000000,47.7916700000
2023-02-06 16:00:00,324.0000000000,42.0000000000,424.4259000000,44.5583300000
2023-02-06 16:15:00,252.0000000000,42.0000000000,336.7925000000,42.0000000000
2023-02-06 16:30:00,196.0000000000,42.0000000000,266.9049000000,39.8500000000
2023-02-06 16:45:00,136.0000000000,41.0000000000,191.4111000000,37.0916700000
2023-02-06 17:00:00,104.0000000000,41.0000000000,136.6559000000,34.4416700000
2023-02-06 17:15:00,56.0000000000,41.0000000000,78.3179500000,32.1250000000
2023-02-06 17:30:00,36.0000000000,41.0000000000,53.1112000000,29.9500000000
2023-02-06 17:45:00,16.0000000000,40.0000000000,23.4363700000,28.6250000000
2023-02-06 18:00:00,4.0000000000,40.0000000000,5.4797270000,27.6083300000
2023-02-06 18:15:00,0.0000000000,40.0000000000,0.0000000000,26.4333300000
2023-02-06 18:30:00,0.0000000000,40.0000000000,0.0000000000,25.7250000000
2023-02-06 18:45:00,0.0000000000,40.0000000000,0.0000000000,25.3666700000
2023-02-06 19:00:00,0.0000000000,40.0000000000,0.0000000000,25.3666700000
2023-02-06 19:15:00,0.0000000000,40.0000000000,0.0000000000,25.2000000000
2023-02-06 19:30:00,0.0000000000,40.0000000000,0.0000000000,24.9083300000
2023-02-06 19:45:00,0.0000000000,40.0000000000,0.0000000000,24.6250000000
2023-02-06 20:00:00,0.0000000000,39.0000000000,0.0000000000,24.4250000000
