Datetime,Generated power_40 (kW),Ambient temperature_58 (degree C),Irradiance_76 (W/m2),PV module temperature_259 (C)
2020-01-02 00:00:00,0.0000000000,33.0000000000,0.0000000000,20.3000000000
2020-01-02 00:15:00,0.0000000000,34.0000000000,0.0000000000,20.4000000000
2020-01-02 00:30:00,0.0000000000,33.0000000000,0.0000000000,21.0666700000
2020-01-02 00:45:00,0.0000000000,34.0000000000,0.0000000000,21.6533300000
2020-01-02 01:00:00,0.0000000000,34.0000000000,0.0000000000,22.2733300000
2020-01-02 01:15:00,0.0000000000,34.0000000000,0.0000000000,22.1066700000
2020-01-02 01:30:00,0.0000000000,34.0000000000,0.0000000000,21.8066700000
2020-01-02 01:45:00,0.0000000000,34.0000000000,0.0000000000,21.4333300000
2020-01-02 02:00:00,0.0000000000,34.0000000000,0.0000000000,21.1200000000
2020-01-02 02:15:00,0.0000000000,33.0000000000,0.0000000000,21.2133300000
2020-01-02 02:30:00,0.0000000000,33.0000000000,0.0000000000,21.4666700000
2020-01-02 02:45:00,0.0000000000,33.0000000000,0.0000000000,21.5733300000
2020-01-02 03:00:00,0.0000000000,34.0000000000,0.0000000000,21.5666700000
2020-01-02 03:15:00,0.0000000000,34.0000000000,0.0000000000,21.4933300000
2020-01-02 03:30:00,0.0000000000,33.0000000000,0.0000000000,21.4133300000
2020-01-02 03:45:00,0.0000000000,34.0000000000,0.0000000000,21.7866700000
2020-01-02 04:00:00,0.0000000000,33.0000000000,0.0000000000,22.1200000000
2020-01-02 04:15:00,0.0000000000,33.0000000000,0.0000000000,21.8866700000
2020-01-02 04:30:00,0.0000000000,37.0000000000,0.0000000000,21.6866700000
2020-01-02 04:45:00,0.0000000000,34.0000000000,0.0000000000,21.9800000000
2020-01-02 05:00:00,0.0000000000,33.0000000000,0.0000000000,21.8200000000
2020-01-02 05:15:00,0.0000000000,33.0000000000,0.0000000000,21.5200000000
2020-01-02 05:30:00,0.0000000000,33.0000000000,0.0000000000,21.2933300000
2020-01-02 05:45:00,0.0000000000,34.0000000000,0.0000000000,20.9000000000
2020-01-02 06:00:00,0.0000000000,33.0000000000,0.0000000000,20.7933300000
2020-01-02 06:15:00,0.0000000000,33.0000000000,0.0000000000,20.8066700000
2020-01-02 06:30:00,0.0000000000,33.0000000000,0.8017840000,20.7400000000
2020-01-02 06:45:00,3.1200000000,33.0000000000,9.2650590000,20.6000000000
2020-01-02 07:00:00,10.6000000000,32.0000000000,38.3668500000,20.7400000000
2020-01-02 07:15:00,23.2400000000,33.0000000000,95.1153400000,22.1933300000
2020-01-02 07:30:00,41.6400000000,33.0000000000,150.8839000000,25.0200000000
2020-01-02 07:45:00,66.9200000000,33.0000000000,215.7393000000,28.3733300000
2020-01-02 08:00:00,77.2800000000,33.0000000000,232.2798000000,31.5666700000
2020-01-02 08:15:00,120.4400000000,34.0000000000,336.0663000000,33.9333300000
2020-01-02 08:30:00,157.2400000000,35.0000000000,416.3932000000,37.5466700000
2020-01-02 08:45:00,180.9200000000,35.0000000000,471.8054000000,41.3000000000
2020-01-02 09:00:00,197.2000000000,37.0000000000,514.8938000000,42.5600000000
2020-01-02 09:15:00,209.2000000000,36.0000000000,523.9807000000,42.2266700000
