Datetime,Generated power_40 (kW),Ambient temperature_58 (degree C),Irradiance_76 (W/m2),PV module temperature_259 (C)
2022-10-23 00:00:00,0.0000000000,36.0000000000,0.0000000000,25.4416700000
2022-10-23 00:15:00,0.0000000000,35.0000000000,0.0000000000,25.3250000000
2022-10-23 00:30:00,0.0000000000,35.0000000000,0.0000000000,25.3000000000
2022-10-23 00:45:00,0.0000000000,36.0000000000,0.0000000000,25.1750000000
2022-10-23 01:00:00,0.0000000000,35.0000000000,0.0000000000,24.9083300000
2022-10-23 01:15:00,0.0000000000,36.0000000000,0.0000000000,24.8083300000
2022-10-23 01:30:00,0.0000000000,36.0000000000,0.0000000000,24.7166700000
2022-10-23 01:45:00,0.0000000000,36.0000000000,0.0000000000,24.7583300000
2022-10-23 02:00:00,0.0000000000,36.0000000000,0.0000000000,24.5500000000
2022-10-23 02:15:00,0.0000000000,35.0000000000,0.0000000000,24.4250000000
2022-10-23 02:30:00,0.0000000000,35.0000000000,0.0000000000,24.1416700000
2022-10-23 02:45:00,0.0000000000,35.0000000000,0.0000000000,23.6250000000
2022-10-23 03:00:00,0.0000000000,35.0000000000,0.0000000000,23.4000000000
2022-10-23 03:15:00,0.0000000000,35.0000000000,0.0000000000,23.4916700000
2022-10-23 03:30:00,0.0000000000,35.0000000000,0.0000000000,23.5750000000
2022-10-23 03:45:00,0.0000000000,35.0000000000,0.0000000000,23.8500000000
2022-10-23 04:00:00,0.0000000000,34.0000000000,0.0000000000,24.1333300000
2022-10-23 04:15:00,0.0000000000,35.0000000000,0.0000000000,24.2000000000
2022-10-23 04:30:00,0.0000000000,35.0000000000,0.0000000000,24.0000000000
2022-10-23 04:45:00,0.0000000000,35.0000000000,0.0000000000,23.7333300000
2022-10-23 05:00:00,0.0000000000,35.0000000000,0.0000000000,23.6000000000
2022-10-23 05:15:00,0.0000000000,35.0000000000,0.0000000000,23.5583300000
2022-10-23 05:30:00,0.0000000000,35.0000000000,0.0000000000,23.5416700000
2022-10-23 05:45:00,0.0000000000,35.0000000000,0.0000000000,23.4750000000
2022-10-23 06:00:00,0.0000000000,35.0000000000,1.4847850000,23.6000000000
2022-10-23 06:15:00,4.0000000000,35.0000000000,11.0987700000,23.8833300000
2022-10-23 06:30:00,20.0000000000,35.0000000000,39.4952900000,24.6166700000
2022-10-23 06:45:00,36.0000000000,35.0000000000,75.6498100000,26.1750000000
2022-10-23 07:00:00,40.0000000000,35.0000000000,123.0145000000,28.3000000000
2022-10-23 07:15:00,48.0000000000,35.0000000000,216.2590000000,31.2250000000
2022-10-23 07:30:00,52.0000000000,36.0000000000,285.5242000000,35.4333300000
2022-10-23 07:45:00,84.0000000000,36.0000000000,330.1420000000,38.2416600000
2022-10-23 08:00:00,168.0000000000,36.0000000000,395.7695000000,39.9916600000
2022-10-23 08:15:00,196.0000000000,37.0000000000,444.3220000000,42.7583400000
2022-10-23 08:30:00,228.0000000000,37.0000000000,524.7602000000,44.2500000000
2022-10-23 08:45:00,216.0000000000,38.0000000000,506.8685000000,46.4416700000
2022-10-23 09:00:00,244.0000000000,38.0000000000,550.8925000000,46.5416700000
2022-10-23 09:15:00,280.0000000000,38.0000000000,653.8251000000,49.4083300000
2022-10-23 09:30:00,284.0000000000,39.0000000000,657.7969000000,50.6333400000
2022-10-23 09:45:00,324.0000000000,39.0000000000,738.2723000000,52.2500000000
2022-10-23 10:00:00,320.0000000000,40.0000000000,743.2463000000,54.8416700000
2022-10-23 10:15:00,336.0000000000,40.0000000000,783.2242000000,56.7000000000
2022-10-23 10:30:00,352.0000000000,40.0000000000,823.9816000000,59.4500000000
2022-10-23 10:45:00,352.0000000000,41.0000000000,831.5540000000,59.5250000000
2022-10-23 11:00:00,344.0000000000,40.0000000000,798.3690000000,59.8666600000
2022-10-23 11:15:00,344.0000000000,41.0000000000,814.1077000000,60.1833300000
2022-10-23 11:30:00,368.0000000000,40.0000000000,867.7827000000,59.1916700000
2022-10-23 11:45:00,388.0000000000,41.0000000000,912.3262000000,60.5750000000
2022-10-23 12:00:00,392.0000000000,41.0000000000,931.8883000000,61.5583300000
2022-10-23 12:15:00,384.0000000000,42.0000000000,919.4532000000,60.4166700000
2022-10-23 12:30:00,376.0000000000,42.0000000000,902.7123000000,63.1750000000
2022-10-23 12:45:00,372.0000000000,42.0000000000,894.0634000000,64.4916700000
2022-10-23 13:00:00,344.0000000000,43.0000000000,865.2214000000,62.9666700000
2022-10-23 13:15:00,360.0000000000,43.0000000000,900.9305000000,62.8250000000
2022-10-23 13:30:00,348.0000000000,43.0000000000,823.4990000000,64.1166700000
2022-10-23 13:45:00,328.0000000000,43.0000000000,746.2902000000,64.2750000000
2022-10-23 14:00:00,320.0000000000,43.0000000000,761.8804000000,61.5250000000
