Datetime,Generated power_1325 (kW),Ambient temperature_1326 (degree C),Irradiance_1327 (W/m2),PV module temperature_1328 (C)
2022-01-01 00:00:00,0.0000000000,33.0000000000,0.0000000000,18.6000000000
2022-01-01 00:15:00,0.0000000000,32.0000000000,0.0000000000,18.7000000000
2022-01-01 00:30:00,0.0000000000,33.0000000000,0.0000000000,18.8000000000
2022-01-01 00:45:00,0.0000000000,32.0000000000,0.0000000000,18.7583300000
2022-01-01 01:00:00,0.0000000000,32.0000000000,0.0000000000,18.5833300000
2022-01-01 01:15:00,0.0000000000,32.0000000000,0.0000000000,18.5750000000
2022-01-01 01:30:00,0.0000000000,32.0000000000,0.0000000000,18.4833300000
2022-01-01 01:45:00,0.0000000000,32.0000000000,0.0000000000,18.3000000000
2022-01-01 02:00:00,0.0000000000,32.0000000000,0.0000000000,18.0083300000
2022-01-01 02:15:00,0.0000000000,32.0000000000,0.0000000000,17.7250000000
2022-01-01 02:30:00,0.0000000000,32.0000000000,0.0000000000,17.5250000000
2022-01-01 02:45:00,0.0000000000,32.0000000000,0.0000000000,17.4750000000
2022-01-01 03:00:00,0.0000000000,32.0000000000,0.0000000000,17.1666700000
2022-01-01 03:15:00,0.0000000000,31.0000000000,0.0000000000,16.8000000000
2022-01-01 03:30:00,0.0000000000,31.0000000000,0.0000000000,16.4000000000
2022-01-01 03:45:00,0.0000000000,31.0000000000,0.0000000000,16.0750000000
2022-01-01 04:00:00,0.0000000000,31.0000000000,0.0000000000,15.5833300000
2022-01-01 04:15:00,0.0000000000,31.0000000000,0.0000000000,15.1916700000
2022-01-01 04:30:00,0.0000000000,31.0000000000,0.0000000000,14.8750000000
2022-01-01 04:45:00,0.0000000000,31.0000000000,0.0000000000,14.4416700000
2022-01-01 05:00:00,0.0000000000,30.0000000000,0.0000000000,14.0916700000
2022-01-01 05:15:00,0.0000000000,30.0000000000,0.0000000000,14.2916700000
2022-01-01 05:30:00,0.0000000000,30.0000000000,0.0000000000,14.4916700000
2022-01-01 05:45:00,0.0000000000,30.0000000000,0.0000000000,14.4583300000
2022-01-01 06:00:00,0.0000000000,30.0000000000,0.0000000000,14.2583300000
2022-01-01 06:15:00,0.0000000000,30.0000000000,0.0000000000,14.0083300000
2022-01-01 06:30:00,1.6000000000,30.0000000000,3.8448440000,14.1666700000
2022-01-01 06:45:00,9.6000000000,30.0000000000,29.1276000000,14.5416700000
2022-01-01 07:00:00,29.6000000000,28.0000000000,85.3633000000,15.2750000000
2022-01-01 07:15:00,38.4000000000,29.0000000000,112.9763000000,16.3833300000
2022-01-01 07:30:00,60.4000000000,29.0000000000,171.3868000000,17.2833300000
2022-01-01 07:45:00,86.4000000000,30.0000000000,229.7585000000,19.1750000000
2022-01-01 08:00:00,114.8000000000,30.0000000000,291.5479000000,22.8583300000
2022-01-01 08:15:00,142.0000000000,31.0000000000,348.0166000000,26.0500000000
2022-01-01 08:30:00,169.6000000000,31.0000000000,403.5921000000,29.1333300000
2022-01-01 08:45:00,196.4000000000,33.0000000000,456.6043000000,31.6250000000
2022-01-01 09:00:00,221.2000000000,33.0000000000,505.4610000000,33.5500000000
2022-01-01 09:15:00,243.2000000000,34.0000000000,551.9487000000,35.6416700000
2022-01-01 09:30:00,263.2000000000,35.0000000000,594.9022000000,37.4833300000
2022-01-01 09:45:00,281.2000000000,36.0000000000,636.9625000000,39.9666700000
2022-01-01 10:00:00,297.2000000000,37.0000000000,671.9156000000,41.2500000000
2022-01-01 10:15:00,310.4000000000,37.0000000000,705.6259000000,42.8750000000
2022-01-01 10:30:00,321.6000000000,38.0000000000,735.7633000000,44.5166700000
2022-01-01 10:45:00,332.0000000000,39.0000000000,761.9781000000,46.6000000000
2022-01-01 11:00:00,330.8000000000,39.0000000000,762.8325000000,47.5666700000
2022-01-01 11:15:00,346.0000000000,40.0000000000,800.7761000000,48.3916700000
2022-01-01 11:30:00,348.4000000000,41.0000000000,815.7671000000,50.1583300000
2022-01-01 11:45:00,350.8000000000,41.0000000000,824.8161000000,50.3666600000
2022-01-01 12:00:00,350.0000000000,41.0000000000,822.3694000000,51.4750000000
2022-01-01 12:15:00,343.2000000000,42.0000000000,821.7480000000,52.2583400000
2022-01-01 12:30:00,349.6000000000,42.0000000000,815.0292000000,52.4250000000
2022-01-01 12:45:00,348.4000000000,43.0000000000,811.3785000000,52.6000000000
2022-01-01 13:00:00,348.8000000000,43.0000000000,811.9222000000,53.1166600000
2022-01-01 13:15:00,288.0000000000,45.0000000000,623.4473000000,53.6583300000
2022-01-01 13:30:00,298.8000000000,45.0000000000,790.8727000000,51.7083300000
2022-01-01 13:45:00,244.4000000000,44.0000000000,656.2255000000,51.4250000000
2022-01-01 14:00:00,242.4000000000,44.0000000000,613.6215000000,48.3916700000
2022-01-01 14:15:00,283.6000000000,43.0000000000,688.1882000000,47.4583300000
2022-01-01 14:30:00,214.0000000000,43.0000000000,516.6072000000,47.3250000000
2022-01-01 14:45:00,252.0000000000,43.0000000000,585.6202000000,46.2166700000
2022-01-01 15:00:00,226.8000000000,43.0000000000,557.4636000000,46.4666700000
2022-01-01 15:15:00,156.8000000000,43.0000000000,361.3376000000,45.3416700000
2022-01-01 15:30:00,161.6000000000,43.0000000000,368.0952000000,41.6500000000
