Datetime,Generated power_1475 (kW),Ambient temperature_1476 (degree C),Irradiance_1477 (W/m2),PV module temperature_1478 (C)
2022-10-23 00:00:00,0.0000000000,25.8133300000,,25.8133300000
2022-10-23 00:15:00,0.0000000000,25.6700000000,0.0000000000,25.6700000000
2022-10-23 00:30:00,0.0000000000,25.2366700000,,25.2366700000
2022-10-23 00:45:00,0.0000000000,25.0300000000,,25.0300000000
2022-10-23 01:00:00,0.0000000000,25.1000000000,0.0000000000,25.1000000000
2022-10-23 01:15:00,0.0000000000,25.0633300000,0.0000000000,25.0633300000
2022-10-23 01:30:00,0.0000000000,25.0000000000,0.0000000000,25.0000000000
2022-10-23 01:45:00,0.0000000000,25.0900000000,0.0000000000,25.0900000000
2022-10-23 02:00:00,0.0000000000,25.1633300000,0.0000000000,25.1633300000
2022-10-23 02:15:00,0.0000000000,25.2000000000,0.0000000000,25.2000000000
2022-10-23 02:30:00,0.0000000000,25.2000000000,0.0000000000,25.2000000000
2022-10-23 02:45:00,0.0000000000,25.1233300000,0.0000000000,25.1233300000
2022-10-23 03:00:00,0.0000000000,25.1300000000,0.0000000000,25.1300000000
2022-10-23 03:15:00,0.0000000000,25.1500000000,0.0000000000,25.1500000000
2022-10-23 03:30:00,0.0000000000,25.3033300000,0.0000000000,25.3033300000
2022-10-23 03:45:00,0.0000000000,25.4000000000,0.0000000000,25.4000000000
2022-10-23 04:00:00,0.0000000000,25.3700000000,0.0000000000,25.3700000000
2022-10-23 04:15:00,0.0000000000,25.3000000000,0.0000000000,25.3000000000
2022-10-23 04:30:00,0.0000000000,25.2766700000,0.0000000000,25.2766700000
2022-10-23 04:45:00,0.0000000000,25.1533300000,,25.1533300000
2022-10-23 05:00:00,0.0000000000,24.9100000000,0.0000000000,24.9100000000
2022-10-23 05:15:00,0.0000000000,24.9000000000,0.0000000000,24.9000000000
2022-10-23 05:30:00,0.0000000000,24.8300000000,,24.8300000000
2022-10-23 05:45:00,0.0000000000,24.7733300000,,24.7733300000
2022-10-23 06:00:00,0.3760000000,24.6800000000,1.2333330000,24.6800000000
2022-10-23 06:15:00,6.3000000000,24.7000000000,17.3666700000,24.7000000000
2022-10-23 06:30:00,21.3240000000,25.4200000000,63.2666700000,25.4200000000
2022-10-23 06:45:00,36.0000000000,26.7500000000,109.5333000000,26.7500000000
2022-10-23 07:00:00,45.3760000000,28.2566700000,144.5333000000,28.2566700000
2022-10-23 07:15:00,70.7520000000,30.0800000000,223.3000000000,30.0800000000
2022-10-23 07:30:00,94.0000000000,32.0333300000,284.6333000000,32.0333300000
2022-10-23 07:45:00,114.9480000000,33.6266700000,346.5333000000,33.6266700000
2022-10-23 08:00:00,110.4000000000,35.6966700000,333.4667000000,35.6966700000
2022-10-23 08:15:00,103.7760000000,36.1566700000,323.9667000000,36.1566700000
2022-10-23 08:30:00,124.6240000000,37.2800000000,360.8667000000,37.2800000000
2022-10-23 08:45:00,210.4000000000,41.0100000000,593.0000000000,41.0100000000
2022-10-23 09:00:00,187.7240000000,43.9833300000,542.4000000000,43.9833300000
2022-10-23 09:15:00,241.7520000000,44.7966700000,701.9333000000,44.7966700000
2022-10-23 09:30:00,147.3240000000,45.7300000000,461.2333000000,45.7300000000
2022-10-23 09:45:00,210.0000000000,45.6700000000,584.2667000000,45.6700000000
2022-10-23 10:00:00,245.4240000000,49.9633300000,705.0667000000,49.9633300000
2022-10-23 10:15:00,262.5760000000,48.5200000000,745.0333000000,48.5200000000
2022-10-23 10:30:00,304.1760000000,52.3266700000,901.9667000000,52.3266700000
2022-10-23 10:45:00,154.6240000000,52.5700000000,515.2667000000,52.5700000000
2022-10-23 11:00:00,144.5000000000,44.4300000000,396.0000000000,44.4300000000
