Datetime,Generated power_1385 (kW),Ambient temperature_1386 (degree C),Irradiance_1387 (W/m2),PV module temperature_1388 (C)
2022-02-05 00:00:00,0.0000000000,25.2400000000,0.0000000000,25.2400000000
2022-02-05 00:15:00,0.0000000000,25.1733300000,0.0000000000,25.1733300000
2022-02-05 00:30:00,0.0000000000,25.0733300000,0.0000000000,25.0733300000
2022-02-05 00:45:00,0.0000000000,24.8133300000,0.0000000000,24.8133300000
2022-02-05 01:00:00,0.0000000000,24.7000000000,0.0000000000,24.7000000000
2022-02-05 01:15:00,0.0000000000,24.6500000000,0.0000000000,24.6500000000
2022-02-05 01:30:00,0.0000000000,24.6233300000,0.0000000000,24.6233300000
2022-02-05 01:45:00,0.0000000000,24.6166700000,,24.6166700000
2022-02-05 02:00:00,0.0000000000,23.6166700000,,23.6166700000
2022-02-05 02:15:00,0.0000000000,24.4566700000,0.0000000000,24.4566700000
2022-02-05 02:30:00,0.0000000000,24.6166700000,0.0000000000,24.6166700000
2022-02-05 02:45:00,0.0000000000,24.7300000000,0.0000000000,24.7300000000
2022-02-05 03:00:00,0.0000000000,24.7266700000,0.0000000000,24.7266700000
2022-02-05 03:15:00,0.0000000000,24.5833300000,0.0000000000,24.5833300000
2022-02-05 03:30:00,0.0000000000,24.3233300000,0.0000000000,24.3233300000
2022-02-05 03:45:00,0.0000000000,24.0333300000,0.0000000000,24.0333300000
2022-02-05 04:00:00,0.0000000000,24.0300000000,0.0000000000,24.0300000000
2022-02-05 04:15:00,0.0000000000,24.1000000000,0.0000000000,24.1000000000
2022-02-05 04:30:00,0.0000000000,24.1000000000,0.0000000000,24.1000000000
2022-02-05 04:45:00,0.0000000000,24.0100000000,0.0000000000,24.0100000000
2022-02-05 05:00:00,0.0000000000,24.0100000000,0.0000000000,24.0100000000
2022-02-05 05:15:00,0.0000000000,24.1466700000,0.0000000000,24.1466700000
2022-02-05 05:30:00,0.0000000000,24.0300000000,0.0000000000,24.0300000000
2022-02-05 05:45:00,0.0000000000,24.0200000000,0.0000000000,24.0200000000
2022-02-05 06:00:00,0.0000000000,23.8533300000,0.0000000000,23.8533300000
2022-02-05 06:15:00,0.0000000000,23.3833300000,0.0000000000,23.3833300000
2022-02-05 06:30:00,0.0000000000,23.1666700000,0.8000000000,23.1666700000
2022-02-05 06:45:00,4.0000000000,23.1200000000,8.5333340000,23.1200000000
2022-02-05 07:00:00,20.0000000000,23.5966700000,23.0333300000,23.5966700000
2022-02-05 07:15:00,32.0000000000,24.0566700000,43.3000000000,24.0566700000
2022-02-05 07:30:00,56.0000000000,24.4900000000,68.1666600000,24.4900000000
2022-02-05 07:45:00,56.0000000000,24.2900000000,65.9666700000,24.2900000000
2022-02-05 08:00:00,56.0000000000,24.5966700000,69.1333300000,24.5966700000
2022-02-05 08:15:00,40.0000000000,24.4966700000,48.2666700000,24.4966700000
2022-02-05 08:30:00,32.0000000000,24.1033300000,37.7666700000,24.1033300000
2022-02-05 08:45:00,72.0000000000,23.9833300000,80.8666700000,23.9833300000
2022-02-05 09:00:00,96.0000000000,25.0800000000,108.3667000000,25.0800000000
2022-02-05 09:15:00,152.0000000000,26.5400000000,173.9667000000,26.5400000000
2022-02-05 09:30:00,164.0000000000,27.6966700000,188.6000000000,27.6966700000
2022-02-05 09:45:00,276.0000000000,29.3333300000,324.8333000000,29.3333300000
2022-02-05 10:00:00,436.0000000000,34.1633300000,530.1000000000,34.1633300000
2022-02-05 10:15:00,552.0000000000,40.2100000000,677.0000000000,40.2100000000
2022-02-05 10:30:00,568.0000000000,41.3700000000,698.0333000000,41.3700000000
2022-02-05 10:45:00,596.0000000000,42.2400000000,727.9667000000,42.2400000000
2022-02-05 11:00:00,620.0000000000,44.3766700000,764.6334000000,44.3766700000
2022-02-05 11:15:00,632.0000000000,46.0166700000,786.5000000000,46.0166700000
2022-02-05 11:30:00,636.0000000000,48.5533300000,797.4333000000,48.5533300000
2022-02-05 11:45:00,640.0000000000,51.7166700000,804.8333000000,51.7166700000
2022-02-05 12:00:00,648.0000000000,52.3666600000,817.4333000000,52.3666600000
2022-02-05 12:15:00,648.0000000000,52.2966700000,817.1334000000,52.2966700000
2022-02-05 12:30:00,644.0000000000,50.6033300000,808.9000000000,50.6033300000
2022-02-05 12:45:00,640.0000000000,50.2866700000,804.5000000000,50.2866700000
2022-02-05 13:00:00,636.0000000000,50.4400000000,796.6334000000,50.4400000000
2022-02-05 13:15:00,624.0000000000,51.7900000000,782.4333000000,51.7900000000
2022-02-05 13:30:00,604.0000000000,51.4533300000,760.1334000000,51.4533300000
2022-02-05 13:45:00,588.0000000000,51.9100000000,743.0000000000,51.9100000000
2022-02-05 14:00:00,572.0000000000,51.8766700000,723.6000000000,51.8766700000
2022-02-05 14:15:00,548.0000000000,52.0433300000,689.4000000000,52.0433300000
2022-02-05 14:30:00,520.0000000000,51.8400000000,653.4333000000,51.8400000000
2022-02-05 14:45:00,492.0000000000,52.7766700000,619.3333000000,52.7766700000
2022-02-05 15:00:00,472.0000000000,50.7233300000,587.8000000000,50.7233300000
2022-02-05 15:15:00,432.0000000000,49.0166700000,543.9667000000,49.0166700000
2022-02-05 15:30:00,388.0000000000,47.1633300000,480.4000000000,47.1633300000
2022-02-05 15:45:00,308.0000000000,44.3766700000,381.0333000000,44.3766700000
2022-02-05 16:00:00,192.0000000000,41.3533300000,236.3000000000,41.3533300000
2022-02-05 16:15:00,196.0000000000,39.0000000000,243.5333000000,39.0000000000
2022-02-05 16:30:00,100.0000000000,37.9200000000,124.4000000000,37.9200000000
2022-02-05 16:45:00,60.0000000000,35.0133300000,73.0333300000,35.0133300000
2022-02-05 17:00:00,56.0000000000,32.7633300000,71.3666700000,32.7633300000
2022-02-05 17:15:00,60.0000000000,31.2833300000,77.0666700000,31.2833300000
2022-02-05 17:30:00,40.0000000000,29.7500000000,47.6333400000,29.7500000000
2022-02-05 17:45:00,20.0000000000,28.4533300000,27.0666700000,28.4533300000
2022-02-05 18:00:00,4.0000000000,28.1066700000,4.5000000000,28.1066700000
2022-02-05 18:15:00,0.0000000000,27.8233300000,0.3333333000,27.8233300000
2022-02-05 18:30:00,0.0000000000,27.4800000000,0.0000000000,27.4800000000
2022-02-05 18:45:00,0.0000000000,27.2233300000,0.0000000000,27.2233300000
2022-02-05 19:00:00,0.0000000000,27.1466700000,,27.1466700000
2022-02-05 19:15:00,0.0000000000,26.8200000000,,26.8200000000
2022-02-05 19:30:00,0.0000000000,26.7066700000,,26.7066700000
2022-02-05 19:45:00,0.0000000000,26.1733300000,,26.1733300000
2022-02-05 20:00:00,0.0000000000,26.1400000000,,26.1400000000
2022-02-05 20:15:00,0.0000000000,25.7333300000,,25.7333300000
2022-02-05 20:30:00,0.0000000000,25.4966700000,,25.4966700000
2022-02-05 20:45:00,0.0000000000,25.0833300000,,25.0833300000
2022-02-05 21:00:00,0.0000000000,25.0533300000,,25.0533300000
2022-02-05 21:15:00,0.0000000000,24.9533300000,,24.9533300000
2022-02-05 21:30:00,0.0000000000,24.6300000000,,24.6300000000
2022-02-05 21:45:00,0.0000000000,24.6433300000,,24.6433300000
2022-02-05 22:00:00,0.0000000000,24.8433300000,,24.8433300000
2022-02-05 22:15:00,0.0000000000,24.6533300000,,24.6533300000
2022-02-05 22:30:00,0.0000000000,24.6066700000,,24.6066700000
2022-02-05 22:45:00,0.0000000000,24.3666700000,,24.3666700000
2022-02-05 23:00:00,0.0000000000,24.1600000000,,24.1600000000
2022-02-05 23:15:00,0.0000000000,23.7733300000,,23.7733300000
2022-02-05 23:30:00,0.0000000000,23.3933300000,,23.3933300000
2022-02-05 23:45:00,0.0000000000,22.5766700000,,22.5766700000
2022-02-06 00:00:00,0.0000000000,22.1066700000,,22.1066700000
2022-02-06 00:15:00,0.0000000000,21.9300000000,,21.9300000000
2022-02-06 00:30:00,0.0000000000,22.0833300000,,22.0833300000
2022-02-06 00:45:00,0.0000000000,22.4266700000,,22.4266700000
2022-02-06 01:00:00,0.0000000000,22.8633300000,,22.8633300000
2022-02-06 01:15:00,0.0000000000,23.3000000000,,23.3000000000
2022-02-06 01:30:00,0.0000000000,23.5566700000,,23.5566700000
2022-02-06 01:45:00,0.0000000000,23.6000000000,,23.6000000000
2022-02-06 02:00:00,0.0000000000,23.5033300000,,23.5033300000
2022-02-06 02:15:00,0.0000000000,23.4966700000,,23.4966700000
2022-02-06 02:30:00,0.0000000000,23.3400000000,,23.3400000000
2022-02-06 02:45:00,0.0000000000,22.9966700000,,22.9966700000
2022-02-06 03:00:00,0.0000000000,22.8100000000,,22.8100000000
2022-02-06 03:15:00,0.0000000000,22.7300000000,,22.7300000000
2022-02-06 03:30:00,0.0000000000,22.7166700000,,22.7166700000
2022-02-06 03:45:00,0.0000000000,22.7233300000,,22.7233300000
2022-02-06 04:00:00,0.0000000000,22.5400000000,,22.5400000000
2022-02-06 04:15:00,0.0000000000,22.1000000000,,22.1000000000
2022-02-06 04:30:00,0.0000000000,21.7933300000,,21.7933300000
2022-02-06 04:45:00,0.0000000000,21.7900000000,,21.7900000000
2022-02-06 05:00:00,0.0000000000,21.9566700000,,21.9566700000
2022-02-06 05:15:00,0.0000000000,22.1566700000,,22.1566700000
2022-02-06 05:30:00,0.0000000000,22.2966700000,,22.2966700000
2022-02-06 05:45:00,0.0000000000,22.2700000000,,22.2700000000
2022-02-06 06:00:00,0.0000000000,22.2133300000,,22.2133300000
2022-02-06 06:15:00,0.0000000000,22.0866700000,0.0000000000,22.0866700000
2022-02-06 06:30:00,0.0000000000,21.9033300000,1.5000000000,21.9033300000
2022-02-06 06:45:00,4.0000000000,21.9166700000,9.9000000000,21.9166700000
2022-02-06 07:00:00,24.0000000000,22.1433300000,29.3333300000,22.1433300000
2022-02-06 07:15:00,40.0000000000,22.6000000000,60.1000000000,22.6000000000
2022-02-06 07:30:00,72.0000000000,23.2333300000,98.0333300000,23.2333300000
2022-02-06 07:45:00,112.0000000000,24.3266700000,153.0000000000,24.3266700000
2022-02-06 08:00:00,148.0000000000,25.1800000000,193.7000000000,25.1800000000
2022-02-06 08:15:00,224.0000000000,27.0333300000,285.5667000000,27.0333300000
2022-02-06 08:30:00,244.0000000000,28.7900000000,307.6000000000,28.7900000000
2022-02-06 08:45:00,204.0000000000,28.0766700000,243.4000000000,28.0766700000
2022-02-06 09:00:00,372.0000000000,30.3900000000,459.6667000000,30.3900000000
2022-02-06 09:15:00,248.0000000000,32.4800000000,307.5333000000,32.4800000000
2022-02-06 09:30:00,188.0000000000,29.4700000000,219.1333000000,29.4700000000
2022-02-06 09:45:00,260.0000000000,29.5866700000,298.9667000000,29.5866700000
2022-02-06 10:00:00,340.0000000000,31.7066700000,393.8333000000,31.7066700000
2022-02-06 10:15:00,512.0000000000,36.1233300000,610.2667000000,36.1233300000
2022-02-06 10:30:00,548.0000000000,39.6333400000,655.3666000000,39.6333400000
2022-02-06 10:45:00,516.0000000000,43.2533300000,643.9667000000,43.2533300000
2022-02-06 11:00:00,456.0000000000,40.9133300000,560.4333000000,40.9133300000
2022-02-06 11:15:00,668.0000000000,44.0466700000,804.5667000000,44.0466700000
2022-02-06 11:30:00,680.0000000000,48.0200000000,847.8000000000,48.0200000000
2022-02-06 11:45:00,704.0000000000,49.6366700000,885.5000000000,49.6366700000
2022-02-06 12:00:00,660.0000000000,50.7266700000,838.0000000000,50.7266700000
2022-02-06 12:15:00,680.0000000000,50.5600000000,859.4667000000,50.5600000000
2022-02-06 12:30:00,676.0000000000,52.5266700000,849.8666000000,52.5266700000
2022-02-06 12:45:00,660.0000000000,54.5566700000,838.7333000000,54.5566700000
2022-02-06 13:00:00,648.0000000000,57.1233300000,831.7667000000,57.1233300000
2022-02-06 13:15:00,632.0000000000,58.7233300000,811.1334000000,58.7233300000
2022-02-06 13:30:00,612.0000000000,59.8400000000,422.6667000000,59.8400000000
2022-02-06 13:45:00,604.0000000000,60.4133300000,751.6000000000,60.4133300000
2022-02-06 14:00:00,576.0000000000,60.2666700000,739.1000000000,60.2666700000
2022-02-06 14:15:00,560.0000000000,57.9466700000,717.4000000000,57.9466700000
2022-02-06 14:30:00,536.0000000000,54.6666700000,679.5000000000,54.6666700000
