,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,44.61058444976807,0.3043444269834313,0.33191914558410646,0.05800668798392246,0.3,6,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-110.85745717642156,-106.75110013181343,-106.21320394952929,-108.67784717520342,-106.73530040044795,-107.84698176668311,1.7239095970043523,72
1,41.35760054588318,0.9414918960284671,0.3213204383850098,0.05338307304350665,0.3,6,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-110.32170195434122,-105.20026692036699,-104.92687900691031,-108.42068755847227,-105.27053904876736,-106.82801489777162,2.164812584363029,21
2,42.50276641845703,0.4474849493109441,0.298218822479248,0.01259156889504593,0.3,6,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-110.81343941288527,-106.6857020939484,-106.22690866460172,-108.86690777212787,-106.45287062288881,-107.80916571329041,1.7748083259590997,70
3,39.80236525535584,0.33304624817186707,0.3219278335571289,0.03135867135994333,0.3,6,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-110.4601971807481,-105.43312931398457,-104.96928157426554,-108.03361568217316,-105.14017987244098,-106.80728072472247,2.139787573146431,15
4,42.12760095596313,0.17135447820280922,0.32022795677185056,0.01933055971423367,0.3,6,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-110.6895385082628,-106.41660711130456,-106.25262629645998,-108.98994558264728,-106.5358050461084,-107.77690450895662,1.7702579708171338,69
5,40.12296023368835,0.4667772526342674,0.3050182342529297,0.013793450316714131,0.3,6,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-110.23605996622788,-105.13480479840814,-104.948940280022,-108.50363122814747,-105.09497473004377,-106.78368220056987,2.1823814706719307,12
6,42.319895601272584,0.2068611335456975,0.31652541160583497,0.020057106028835904,0.3,6,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-110.7361081708644,-106.46854541788161,-106.20747601943623,-108.71319819386706,-106.63489308705343,-107.75204417782054,1.7383636776811013,68
7,39.56225447654724,0.37007872609604053,0.30071420669555665,0.023920854054503053,0.3,6,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 6, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-110.18489537410149,-105.30241960609598,-104.86921239862446,-108.23635211091137,-105.26711544384304,-106.77199898671526,2.089838589783627,11
8,58.13382887840271,0.16531953019690532,0.547508716583252,0.01592909655449849,0.3,8,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-113.15340695833744,-108.75015038498299,-108.04577899883182,-107.6562331178358,-106.65411724739144,-108.8519373414759,2.2549064051131666,87
9,55.5154082775116,0.49099197162384695,0.49858522415161133,0.019082028421081254,0.3,8,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-111.882340395051,-106.7521293089181,-106.61801624240118,-106.8868002533991,-104.6691690662946,-107.36169105321278,2.401503035100772,46
10,58.446491146087645,0.1778486035383309,0.5081992626190186,0.026212039187895192,0.3,8,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-112.65053399418801,-108.85629508428246,-108.03322504622757,-107.73207249508924,-106.61010584463138,-108.77644649288372,2.0664489703653337,86
11,55.43663287162781,0.2758526157004252,0.4986063003540039,0.015973435320970068,0.3,8,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-111.71701784033132,-106.71519770388663,-106.42084554006108,-107.03891788175493,-104.52079883597891,-107.28255556040259,2.383927613497286,43
12,58.392285633087155,0.38135385138261835,0.5237034320831299,0.011546137147017695,0.3,8,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-112.551187076281,-108.37405081275952,-107.7974106058587,-107.87555454803173,-106.34406432675833,-108.58845347393785,2.093823414041119,83
13,55.3401273727417,0.30369071330615366,0.5041919708251953,0.01926523918622936,0.3,8,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-111.6613799457745,-106.21165572768041,-106.47547706958376,-106.57685807850136,-104.43776290650281,-107.07262674560857,2.422511456453168,38
14,58.564700555801394,0.3820569920243266,0.5226882934570313,0.01687413087624696,0.3,8,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-112.41326601543025,-108.30210745511215,-108.06932354045504,-107.87769163346229,-106.62681527644524,-108.65784078418099,1.9651877633201933,84
